Car Details,Car Price,Car Name
"CaracterísticasRENAULT CAPTUR LIFE 1.6 16V FLEX 5P AUT.CategoriaCarros, vans e utilitáriosModeloRENAULT CAPTUR LIFE 1.6 16V FLEX 5P AUT.MarcaRENAULTTipo de veículoSUVAno2018Quilometragem62788Potência do motor1.6CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorVermelhoPortas4 portasFinal de placa3Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAir bagAr condicionadoSensor de réSomTrava elétricaVidro elétrico",R$70.300,
"CaracterísticasCHEVROLET ASTRA SED.COMF. 2.0 MPFI FLEXPOWER 8V 4PCategoriaCarros, vans e utilitáriosModeloCHEVROLET ASTRA SED.COMF. 2.0 MPFI FLEXPOWER 8V 4PMarcaCHEVROLETTipo de veículoSedãAno2005Quilometragem0Potência do motor2.0 - 2.9CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPrataPortas4 portasFinal de placa5Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAr condicionadoSomTrava elétricaVidro elétrico",R$26.900,
"CaracterísticasMITSUBISHI L200 TRI.HLS CHROME ED. 2.4 CD FLEX MEC.CategoriaCarros, vans e utilitáriosModeloMITSUBISHI L200 TRI.HLS CHROME ED. 2.4 CD FLEX MEC.MarcaMITSUBISHITipo de veículoPick-upAno2017Quilometragem55900CombustívelFlexPossui Kit GNVNãoCâmbioManualPortas4 portasFinal de placa1",R$107.900,
"CaracterísticasRENAULT SYMBOL EXPRESSION HI-FLEX 1.6 16V 4PCategoriaCarros, vans e utilitáriosModeloRENAULT SYMBOL EXPRESSION HI-FLEX 1.6 16V 4PMarcaRENAULTTipo de veículoSedãAno2011Quilometragem110000Potência do motor1.6CombustívelFlexPossui Kit GNVNãoCorPrataPortas4 portasFinal de placa3Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAir bagAr condicionadoSomTrava elétricaVidro elétrico",R$20.900,
"CaracterísticasJEEP RENEGADE1.8 4X2 FLEX 16V AUT.CategoriaCarros, vans e utilitáriosModeloJEEP RENEGADE1.8 4X2 FLEX 16V AUT.MarcaJEEPTipo de veículoSUVAno2018Quilometragem61000Potência do motor1.8CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorBrancoPortas4 portasFinal de placa5Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$74.000,
"CaracterísticasMERCEDES-BENZ C-350 AVANTGARDE/ ELEGANCE 3.5 V6 272CVCategoriaCarros, vans e utilitáriosModeloMERCEDES-BENZ C-350 AVANTGARDE/ ELEGANCE 3.5 V6 272CVMarcaMERCEDES-BENZAno2006Quilometragem163000Potência do motor1.0CombustívelGasolinaPossui Kit GNVNãoCâmbioAutomáticoCorPrataPortas4 portasFinal de placa0Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSensor de réTrava elétricaVidro elétrico",R$67.900,
"CaracterísticasNISSAN FRONTIER LE CD 4X4 2.3 BI-TB DIESEL AUT.CategoriaCarros, vans e utilitáriosModeloNISSAN FRONTIER LE CD 4X4 2.3 BI-TB DIESEL AUT.MarcaNISSANTipo de veículoPick-upAno2021Quilometragem47000Potência do motor2.0 - 2.9CombustívelDieselPossui Kit GNVNãoCâmbioAutomáticoCorPretoPortas4 portasFinal de placa7Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$195.800,
"CaracterísticasVOLKSWAGEN VOYAGE 1.0 FLEX 12V 4PCategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN VOYAGE 1.0 FLEX 12V 4PMarcaVOLKSWAGENTipo de veículoSedãAno2023Quilometragem44000Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorBrancoPortas4 portasFinal de placa4Tipo de direçãoHidráulica",R$58.990,
"CaracterísticasHONDA CITY SEDAN EX 1.5 FLEX 16V 4P AUT.CategoriaCarros, vans e utilitáriosModeloHONDA CITY SEDAN EX 1.5 FLEX 16V 4P AUT.MarcaHONDATipo de veículoSUVAno2012Quilometragem63000Potência do motor1.5CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoPortas4 portasTipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$52.000,
"CaracterísticasFIAT STRADA ENDURANCE 1.4 FLEX 8V CCategoriaCarros, vans e utilitáriosModeloFIAT STRADA ENDURANCE 1.4 FLEX 8V CMarcaFIATTipo de veículoPick-upAno2023Quilometragem45702Potência do motor1.4CombustívelFlexPossui Kit GNVNãoCâmbioManualCorBrancoPortas2 portasFinal de placa5Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAr condicionadoTrava elétrica",R$81.290,
"CaracterísticasCHEVROLET S10 PICK-UP LS 2.8 TDI 4X4 CD DIES. MEC.CategoriaCarros, vans e utilitáriosModeloCHEVROLET S10 PICK-UP LS 2.8 TDI 4X4 CD DIES. MEC.MarcaCHEVROLETTipo de veículoPick-upAno2022Quilometragem37000Potência do motor2.0 - 2.9CombustívelDieselPossui Kit GNVNãoCâmbioManualCorPrataPortas4 portasFinal de placa6Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSomTrava elétricaVidro elétrico",R$159.900,
"CaracterísticasAUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5PCategoriaCarros, vans e utilitáriosModeloAUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5PMarcaAUDITipo de veículoHatchAno2017Quilometragem69000Potência do motor1.4CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorCinzaPortas4 portasFinal de placa0Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$103.990,
"CaracterísticasPEUGEOT EXPERT CARGO 1.5 TURBO DIESELCategoriaCarros, vans e utilitáriosModeloPEUGEOT EXPERT CARGO 1.5 TURBO DIESELMarcaPEUGEOTTipo de veículoVan/UtilitárioAno2024Quilometragem0CombustívelDieselPossui Kit GNVNãoCâmbioManualCorBrancoPortas4 portasFinal de placa1Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAir bagAr condicionadoSomTrava elétricaVidro elétrico",R$169.990,
"CaracterísticasKIA MOTORS PICANTO EX 1.1/1.0/ 1.0 FLEX MEC.CategoriaCarros, vans e utilitáriosModeloKIA MOTORS PICANTO EX 1.1/1.0/ 1.0 FLEX MEC.MarcaKIA MOTORSTipo de veículoHatchAno2013Quilometragem107837CombustívelFlexPossui Kit GNVNãoCâmbioManualCorCinzaPortas4 portasFinal de placa5Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoTrava elétricaVidro elétrico",R$38.900,
"CaracterísticasVOLKSWAGEN JETTA TRENDLINE 1.4 TSI 16V 4P  AUT.CategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN JETTA TRENDLINE 1.4 TSI 16V 4P  AUT.MarcaVOLKSWAGENTipo de veículoSedãAno2016Quilometragem115888CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorBrancoPortas4 portasFinal de placa4Tipo de direçãoElétricaVer OpcionaisOpcionaisAir bagAr condicionadoSomTrava elétricaVidro elétrico",R$70.990,
"CaracterísticasCHEVROLET MONTANA LS 1.4 ECONOFLEX 8V 2PCategoriaCarros, vans e utilitáriosModeloCHEVROLET MONTANA LS 1.4 ECONOFLEX 8V 2PMarcaCHEVROLETTipo de veículoVan/UtilitárioAno2017Quilometragem92000Potência do motor1.4CombustívelFlexPossui Kit GNVSimCâmbioManualCorBrancoPortas2 portasFinal de placa6Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAir bagAr condicionadoTrava elétricaVidro elétrico",R$53.900,
"CaracterísticasTOYOTA YARIS XL 1.3 FLEX 16V 5P AUT.CategoriaCarros, vans e utilitáriosModeloTOYOTA YARIS XL 1.3 FLEX 16V 5P AUT.MarcaTOYOTATipo de veículoSedãAno2019Quilometragem70821Potência do motor1.3CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorCinzaPortas4 portasFinal de placa3Tipo de direçãoElétricaVer OpcionaisOpcionaisAir bagAr condicionadoTrava elétricaVidro elétrico",R$75.990,
"CaracterísticasJEEP COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.CategoriaCarros, vans e utilitáriosModeloJEEP COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.MarcaJEEPAno2018Quilometragem65617CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoFinal de placa9Ver OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$105.990,
"CaracterísticasHONDA EXL 1.5 SENSING 16V 5P AUT.CategoriaCarros, vans e utilitáriosModeloHONDA EXL 1.5 SENSING 16V 5P AUT.MarcaHONDATipo de veículoSUVAno2024Quilometragem800Potência do motor1.5CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorVermelhoPortas4 portasFinal de placa5Tipo de direçãoElétricaVer OpcionaisOpcionaisAir bagAr condicionadoSensor de réVidro elétrico",R$159.900,
"CaracterísticasJEEP RENEGADECategoriaCarros, vans e utilitáriosModeloJEEP RENEGADEMarcaJEEPAno2020Quilometragem26000Potência do motor1.8CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPretoPortas4 portasFinal de placa1Tipo de direçãoElétricaVer OpcionaisOpcionaisAir bagAr condicionadoTrava elétricaVidro elétrico",R$86.900,
"CaracterísticasJEEP STD 1.8 4X2 FLEX 16V AUTCategoriaCarros, vans e utilitáriosModeloJEEP STD 1.8 4X2 FLEX 16V AUTMarcaJEEPAno2021Quilometragem47565Potência do motor1.8CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPretoPortas4 portasFinal de placa8Ver OpcionaisOpcionaisAr condicionadoTrava elétricaVidro elétrico",R$87.990,
"CaracterísticasVOLKSWAGEN T-CROSS HIGHLINE 1.4 TSI FLEX 16V 5P AUTCategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN T-CROSS HIGHLINE 1.4 TSI FLEX 16V 5P AUTMarcaVOLKSWAGENAno2021Quilometragem50348Potência do motor1.4CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPrataPortas4 portasFinal de placa3Ver OpcionaisOpcionaisAlarmeAr condicionadoSensor de ré",R$121.730,
"CaracterísticasJEEP COMPASS LONGITUDE 2.0 4X4 DIES. 16V AUT.CategoriaCarros, vans e utilitáriosModeloJEEP COMPASS LONGITUDE 2.0 4X4 DIES. 16V AUT.MarcaJEEPTipo de veículoSUVAno2017Quilometragem73000Potência do motor2.0 - 2.9CombustívelDieselPossui Kit GNVNãoCâmbioAutomáticoCorCinzaPortas4 portasFinal de placa9Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$118.900,
"CaracterísticasCHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P AUT.CategoriaCarros, vans e utilitáriosModeloCHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P AUT.MarcaCHEVROLETTipo de veículoSedãAno2019Quilometragem60300CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoPortas4 portasFinal de placa0",R$66.500,
"CaracterísticasFIAT STRADA FREEDOM 1.3 FLEX 8V CS PLUSCategoriaCarros, vans e utilitáriosModeloFIAT STRADA FREEDOM 1.3 FLEX 8V CS PLUSMarcaFIATTipo de veículoPick-upAno2022Quilometragem63551Potência do motor1.3CombustívelFlexPossui Kit GNVNãoCâmbioManualCorBrancoPortas2 portasFinal de placa1Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAr condicionadoSensor de réTrava elétrica",R$82.690,
"CaracterísticasMERCEDES-BENZ C-180 CGI EXC. 1.6/1.6 FLEX TB 16V  AUT.CategoriaCarros, vans e utilitáriosModeloMERCEDES-BENZ C-180 CGI EXC. 1.6/1.6 FLEX TB 16V  AUT.MarcaMERCEDES-BENZTipo de veículoSedãAno2018Quilometragem49000CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPrataPortas4 portas",R$169.000,
"CaracterísticasJEEP COMPASS LIMITED 2.0 4X2 FLEX 16V AUT.CategoriaCarros, vans e utilitáriosModeloJEEP COMPASS LIMITED 2.0 4X2 FLEX 16V AUT.MarcaJEEPTipo de veículoSUVAno2018Quilometragem48000Potência do motor2.0 - 2.9CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPretoPortas4 portasFinal de placa6Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$113.990,
"CaracterísticasAUDI A3 SPORTBACK 1.4 TFSI S-TRONICCategoriaCarros, vans e utilitáriosModeloAUDI A3 SPORTBACK 1.4 TFSI S-TRONICMarcaAUDITipo de veículoSedãAno2017Quilometragem90000Potência do motor1.4CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorCinzaPortas4 portasFinal de placa4Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$94.500,
"CaracterísticasCHEVROLET CORSA HAT. MAXX 1.0/ 1.0 FLEXPOWER 8V 5PCategoriaCarros, vans e utilitáriosModeloCHEVROLET CORSA HAT. MAXX 1.0/ 1.0 FLEXPOWER 8V 5PMarcaCHEVROLETAno2001Quilometragem250951Potência do motor1.0CombustívelGasolinaPossui Kit GNVNãoCâmbioManualCorVerdePortas4 portasFinal de placa3",R$12.000,
"CaracterísticasVOLKSWAGEN GOL SPECIAL/ SPECIAL XTREME 1.0 MI 2PCategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN GOL SPECIAL/ SPECIAL XTREME 1.0 MI 2PMarcaVOLKSWAGENTipo de veículoHatchAno2003Quilometragem135000Potência do motor1.0CombustívelGasolinaPossui Kit GNVSimCâmbioManualCorBrancoPortas2 portasFinal de placa2Tipo de direçãoMecânicaVer OpcionaisOpcionaisTrava elétricaVidro elétrico",R$7.500,
"CaracterísticasJAGUAR XE 2.0 TURBOCH. R-SPORT 240/250CV AUT.CategoriaCarros, vans e utilitáriosModeloJAGUAR XE 2.0 TURBOCH. R-SPORT 240/250CV AUT.MarcaJAGUARAno2017Quilometragem81000Potência do motor2.0 - 2.9CombustívelGasolinaPossui Kit GNVNãoCâmbioAutomáticoCorBrancoPortas4 portasFinal de placa1Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$166.900,
"CaracterísticasFIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CSCategoriaCarros, vans e utilitáriosModeloFIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CSMarcaFIATTipo de veículoPick-upAno2019Quilometragem129100Potência do motor1.4CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPretoTipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSomTrava elétricaVidro elétrico",R$47.000,
"CaracterísticasCHEVROLET CELTA SPIRIT 1.0 MPFI VHC 8V 3PCategoriaCarros, vans e utilitáriosModeloCHEVROLET CELTA SPIRIT 1.0 MPFI VHC 8V 3PMarcaCHEVROLETTipo de veículoHatchAno2005Quilometragem120000Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPretoPortas2 portasFinal de placa1Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAr condicionadoSomTrava elétricaVidro elétrico",R$10.500,
"CaracterísticasHYUNDAI HB20 COMFORT 1.0 FLEX 12V MEC.CategoriaCarros, vans e utilitáriosModeloHYUNDAI HB20 COMFORT 1.0 FLEX 12V MEC.MarcaHYUNDAITipo de veículoHatchAno2019Quilometragem45000Potência do motor1.0CombustívelFlexPossui Kit GNVSimCâmbioManualCorPrataPortas4 portasFinal de placa6Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$50.000,
"CaracterísticasVOLKSWAGEN T-CROSS COMFORTLINE 1.0 TSI FLEX 5P AUT.CategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN T-CROSS COMFORTLINE 1.0 TSI FLEX 5P AUT.MarcaVOLKSWAGENTipo de veículoSUVAno2022Quilometragem19500Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPrataPortas4 portasFinal de placa1Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$123.900,
"CaracterísticasFORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.CategoriaCarros, vans e utilitáriosModeloFORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.MarcaFORDTipo de veículoHatchAno2015Quilometragem63000Potência do motor1.6CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPrataPortas4 portasFinal de placa9Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSensor de réSomTrava elétricaVidro elétrico",Prix non trouvé,
"CaracterísticasHYUNDAI TUCSON 2.0 16V FLEX AUT.CategoriaCarros, vans e utilitáriosModeloHYUNDAI TUCSON 2.0 16V FLEX AUT.MarcaHYUNDAITipo de veículoSUVAno2015Quilometragem97200Potência do motor2.0 - 2.9CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPrataPortas4 portasTipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$54.990,
"CaracterísticasHYUNDAI HB20S C.PLUS/C.STYLE1.0 FLEX 12V MEC. 4PCategoriaCarros, vans e utilitáriosModeloHYUNDAI HB20S C.PLUS/C.STYLE1.0 FLEX 12V MEC. 4PMarcaHYUNDAITipo de veículoSedãAno2019Quilometragem90000Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPrataPortas4 portasFinal de placa2Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAir bagAr condicionadoSensor de réSomTrava elétricaVidro elétrico",R$59.900,
"CaracterísticasCHEVROLET ONIX SED. PLUS PREM. 1.0 12V TB FLEX AUTCategoriaCarros, vans e utilitáriosModeloCHEVROLET ONIX SED. PLUS PREM. 1.0 12V TB FLEX AUTMarcaCHEVROLETTipo de veículoSedãAno2021Quilometragem25136Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorAzulPortas4 portasFinal de placa3Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$79.000,
"CaracterísticasHYUNDAI HB20S C.PLUS/C.STYLE 1.6 FLEX 16V MEC.4PCategoriaCarros, vans e utilitáriosModeloHYUNDAI HB20S C.PLUS/C.STYLE 1.6 FLEX 16V MEC.4PMarcaHYUNDAITipo de veículoSedãAno2016Quilometragem67000Potência do motor1.6CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPretoPortas4 portasFinal de placa0Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSomTrava elétricaVidro elétrico",R$43.900,
"CaracterísticasHONDA HR-V TOURING 1.5 TB 16V 5P AUT.CategoriaCarros, vans e utilitáriosModeloHONDA HR-V TOURING 1.5 TB 16V 5P AUT.MarcaHONDATipo de veículoSUVAno2023Quilometragem3000Potência do motor1.5CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorVermelhoPortas4 portasFinal de placa6Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$180.000,
"CaracterísticasFORD FIESTA SEDAN TITANIUM 1.6 16V FLEX MECCategoriaCarros, vans e utilitáriosModeloFORD FIESTA SEDAN TITANIUM 1.6 16V FLEX MECMarcaFORDTipo de veículoSedãAno2014Quilometragem105000Potência do motor1.6CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPretoPortas4 portasFinal de placa8Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSensor de réSomTrava elétricaVidro elétrico",R$40.000,
"CaracterísticasVOLKSWAGEN KOMBI CARATCategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN KOMBI CARATMarcaVOLKSWAGENTipo de veículoVan/UtilitárioAno2005Quilometragem148000Potência do motor1.6CombustívelGasolinaPossui Kit GNVNãoCâmbioManualFinal de placa9Tipo de direçãoMecânica",R$35.000,
"CaracterísticasNISSAN MARCH S 1.0 12V FLEX 5PCategoriaCarros, vans e utilitáriosModeloNISSAN MARCH S 1.0 12V FLEX 5PMarcaNISSANTipo de veículoHatchAno2016Quilometragem47000Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorBrancoPortas4 portasFinal de placa6Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSensor de réSomTrava elétricaVidro elétrico",R$39.900,
"CaracterísticasHYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12VCategoriaCarros, vans e utilitáriosModeloHYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12VMarcaHYUNDAITipo de veículoHatchAno2015Quilometragem80000Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPretoPortas4 portasFinal de placa5Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSensor de réSomTrava elétricaVidro elétrico",R$42.000,
"CaracterísticasAUDI A5 AMBIT. PLUS SPORT. 2.0 TFSI S TRONICCategoriaCarros, vans e utilitáriosModeloAUDI A5 AMBIT. PLUS SPORT. 2.0 TFSI S TRONICMarcaAUDITipo de veículoSedãAno2018Quilometragem66661CombustívelGasolinaPossui Kit GNVNãoCâmbioAutomáticoCorPrataPortas4 portasFinal de placa4Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSomTrava elétricaVidro elétrico",R$196.990,
"CaracterísticasCHEVROLET CHEVETTE L / SL / SL/E / DL / SE 1.6CategoriaCarros, vans e utilitáriosModeloCHEVROLET CHEVETTE L / SL / SL/E / DL / SE 1.6MarcaCHEVROLETAno1976Quilometragem50800Potência do motor1.6CombustívelGasolinaPossui Kit GNVNãoCâmbioManualPortas2 portasFinal de placa4",R$8.000,
"CaracterísticasHYUNDAI DIAMOND 1.6 FLEX 16V AUTCategoriaCarros, vans e utilitáriosModeloHYUNDAI DIAMOND 1.6 FLEX 16V AUTMarcaHYUNDAITipo de veículoHatchAno2020Quilometragem35500CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoPortas4 portasFinal de placa7Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeTrava elétricaVidro elétrico",R$82.900,
"CaracterísticasJEEP COMPASS LONG. T270 1.3 TB 4X2 FLEX AUTCategoriaCarros, vans e utilitáriosModeloJEEP COMPASS LONG. T270 1.3 TB 4X2 FLEX AUTMarcaJEEPTipo de veículoSUVAno2022Quilometragem12314Potência do motor1.3CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorBrancoPortas4 portasFinal de placa2Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAr condicionadoSensor de réTrava elétrica",R$151.090,
"CaracterísticasJEEP COMPASS LONG. T270 1.3 TB 4X2 FLEX AUTCategoriaCarros, vans e utilitáriosModeloJEEP COMPASS LONG. T270 1.3 TB 4X2 FLEX AUTMarcaJEEPTipo de veículoSUVAno2022Quilometragem12314Potência do motor1.3CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorBrancoPortas4 portasFinal de placa2Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAr condicionadoSensor de réTrava elétrica",R$151.090,
"CaracterísticasTOYOTA COROLLA GLI 2.0 16V FLEX AUT.CategoriaCarros, vans e utilitáriosModeloTOYOTA COROLLA GLI 2.0 16V FLEX AUT.MarcaTOYOTATipo de veículoSedãAno2021Quilometragem35600Potência do motor2.0 - 2.9CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPretoPortas4 portasTipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",Prix non trouvé,
"CaracterísticasNISSAN KICKS EXCLUSIVE 1.6 16V FLEX AUTCategoriaCarros, vans e utilitáriosModeloNISSAN KICKS EXCLUSIVE 1.6 16V FLEX AUTMarcaNISSANAno2022Quilometragem49389Potência do motor1.6CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPretoPortas4 portasFinal de placa8Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAr condicionadoSensor de réTrava elétricaVidro elétricoVidro elétrico",R$113.060,
"CaracterísticasMITSUBISHI HPE 1.5 16V 165CV AUTCategoriaCarros, vans e utilitáriosModeloMITSUBISHI HPE 1.5 16V 165CV AUTMarcaMITSUBISHITipo de veículoSUVAno2023Quilometragem55868Potência do motor1.5CombustívelGasolinaPossui Kit GNVNãoCâmbioAutomáticoCorCinzaPortas4 portasFinal de placa5Tipo de direçãoElétricaVer OpcionaisOpcionaisAr condicionado",R$162.090,
"CaracterísticasVOLKSWAGEN VOYAGE TRENDLINE 1.6 T.FLEX 8V 4PCategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN VOYAGE TRENDLINE 1.6 T.FLEX 8V 4PMarcaVOLKSWAGENTipo de veículoSedãAno2018Quilometragem110000Potência do motor1.6CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPrataPortas4 portasFinal de placa6Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSomTrava elétricaVidro elétrico",R$45.999,
"CaracterísticasLAND ROVER RANGE ROVER EVOQUE DYNAMIC 2.0 AUT 5PCategoriaCarros, vans e utilitáriosModeloLAND ROVER RANGE ROVER EVOQUE DYNAMIC 2.0 AUT 5PMarcaLAND ROVERTipo de veículoSUVAno2015Quilometragem83217Potência do motor2.0 - 2.9CombustívelGasolinaPossui Kit GNVNãoCâmbioAutomáticoCorPrataPortas4 portasFinal de placa0Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSomTrava elétricaVidro elétrico",R$139.900,
"CaracterísticasHYUNDAI HB20S VISION 1.0 FLEX 12V MECCategoriaCarros, vans e utilitáriosModeloHYUNDAI HB20S VISION 1.0 FLEX 12V MECMarcaHYUNDAIAno2022Quilometragem48027Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorCinzaPortas4 portasFinal de placa1Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAr condicionadoTrava elétricaVidro elétricoVidro elétrico",R$67.660,
"CaracterísticasFIAT ARGO DRIVE 1.0 FIREFLYCategoriaCarros, vans e utilitáriosModeloFIAT ARGO DRIVE 1.0 FIREFLYMarcaFIATTipo de veículoPasseioAno2021Quilometragem93994CombustívelFlexPossui Kit GNVNãoCâmbioManualPortas4 portasFinal de placa6Ver OpcionaisOpcionaisAlarmeAr condicionadoTrava elétricaVidro elétrico",R$58.900,
