modele,prix_initial,prix_actuel,date_loc,info
ChevroletEquinox1.51LT,,20 180 €,,
ToyotaCamry2.5SEprix initial : 22 023,,19 258 €,,
JeepCompass2.4TRAILHAWKprix initial : 22 125,,NC,,
NissanVersa1.6SVprix initial : 15 569,,14 648 €,,
ToyotaCamry2.5SEprix initial : 22 023,,20 180 €,,
NissanSentra2.0SVprix initial : 18 335,,17 414 €,,
VolkswagenJetta1.4SEprix initial : 19 257,,17 414 €,,
NissanMuranoV6 3.5SVprix initial : 23 867,,22 945 €,,
NissanMaximaV6 3.5SVprix initial : 22 023,,21 102 €,,
ToyotaCamry2.5SEprix initial : 22 023,,21 102 €, 05.10.2023 ETATS-UNISDétail,ESSENCE78 954 Km2021AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
NissanArmadaV8 5.6SVprix initial : 34 111,,32 165 €,,
VolkswagenJetta1.4SEprix initial : 19 257,,18 336 €,,
NissanVersa1.6SV,,15 570 €,,
ChevroletSpark1.41LTprix initial : 13 725,,12 804 €,,
NissanMaximaV6 3.5SV,,21 921 €,,
NissanSentra2.0SV,,18 336 €,,
NissanAltima2.5SRprix initial : 21 101,,NC,,
NissanAltima2.5SVprix initial : 21 101,,20 180 €,,
NissanFrontier2.5Sprix initial : 13 725,,11 882 €,,
JeepGrand cherokeeV6 3.6LIMITEDprix initial : 27 555,,24 789 €,,
NissanVersa1.6SVprix initial : 15 569,,13 726 €,,
ToyotaCorolla1.8LIMITED EDITIONprix initial : 18 335,,16 492 €,,
ToyotaTacomaV6 3.5SR5prix initial : 34 930,,32 165 €,,
JeepWranglerUnlimited2.0SAHARAprix initial : 33 086,,34 931 €,,
JeepCherokee2.4LATITUDEprix initial : 20 467,,21 194 €,,
MazdaCx-52.5GRAND TOURINGprix initial : 24 789,,23 867 €,,
ChevroletTahoeV8 6.2prix initial : 71 285,,71 470 €,,
ChevroletSilverado 1500V6 4.31LTprix initial : 20 271,,19 258 €,,
FordF150V6 3.5XLT,,27 555 €,,
KiaSorentoLX,,23 867 €,,
HyundaiAccentSEprix initial : 15 662,,14 648 €,,
ChevroletSilverado 1500prix initial : 56 271,,54 151 €,,
ChevroletSilverado 2500V8 6.6HIGH COUNTRY,,82 206 €,,
ChevroletSilverado 2500V8 6.6CUSTOMprix initial : 61 438,,61 623 €,,
VolkswagenTiguan2.0SE,,22 024 €, 08.10.2023 ETATS-UNISDétail,ESSENCE94 510 Km2020AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
FordEscape1.5SELprix initial : 21 101,,22 945 €,,
HyundaiElantraGLSprix initial : 8 296,,6 637 €,,
ChevroletSilverado 2500V8 6.6HIGH COUNTRYprix initial : 81 629,,81 814 €,,
HyundaiElantra2.0GLSprix initial : 8 296,,6 637 €,,
ChevroletTahoePREMIER,,69 427 €,,
KiaSorento2.4LX,,21 194 €,,
KiaSorentoLX,,21 194 €,,
KiaRio1.6Sprix initial : 18 161,,17 516 €,,
KiaRio1.0Sprix initial : 18 161,,17 516 €,,
ChevroletTraxLSprix initial : 21 158,,21 343 €,,
ChevroletTraxprix initial : 22 541,,22 726 €,,
ChevroletTraxprix initial : 24 067,,24 252 €,,
DodgeGrand caravanV6 3.6GTprix initial : 16 491,,15 570 €,,
NissanSentra1.8S,,13 726 €,,
JeepWranglerUnlimitedV6 3.6SPORT,,28 477 €,,
ToyotaRav42.5,,31 300 €,,
ChevroletSilverado 1500V8 5.3HIGH COUNTRY,,67 146 €,,
ChevroletSilverado 2500V8 6.6CUSTOM,,53 358 €,,
ChevroletSilverado 1500CUSTOMprix initial : 47 328,,45 899 €,,
ChevroletSilverado 1500V8 5.3prix initial : 57 714,,55 594 €,,
ChevroletSilverado 1500prix initial : 58 525,,56 405 €,,
ChevroletEquinox1.5PREMIERprix initial : 37 574,,36 837 €,,
ChevroletSilverado 1500V8 5.3prix initial : 58 170,,56 050 €,,
ChevroletSilverado 1500V8 5.3prix initial : 58 078,,55 958 €,,
ChevroletEquinox1.5PREMIERprix initial : 37 113,,36 376 €, 19.10.2023 ETATS-UNISDétail,ESSENCE16 Km2024AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
ChevroletEquinox1.5RSprix initial : 35 273,,34 536 €,,
FordFusion2.5S,,NC,,
FordTaurusV6 3.5SEL,,NC,,
ToyotaYaris1.5BASE,,NC,,
ChevroletTahoeV8 5.3,,10 325 €,,
ChevroletSilverado 2500V8 6.6WORK TRUCKprix initial : 56 506,,56 691 €,,
ChevroletEquinox1.5PREMIERprix initial : 32 079,,31 342 €,,
ChevroletTahoeV8 6.2prix initial : 70 455,,70 640 €,,
ToyotaRav42.5LIMITED EDITION,,27 612 €,,
ChevroletSilverado 3500V8 6.6HIGH COUNTRYprix initial : 85 404,,85 589 €,,
ChevroletSilverado 2500V8 6.6LTprix initial : 58 391,,58 576 €,,
SubaruOutback2.5PREMIUM,,NC,,
ChevroletSilverado 1500V8 5.3LT,,25 711 €,,
ChevroletSilverado 1500V8 5.3LT,,32 165 €,,
NissanVersa1.6SV,,NC,,
KiaOptimaprix initial : 3 687,,3 596 €,,
FordFusionSEprix initial : 12 446,,11 893 €,,
JeepGrand cherokeeV8 5.7SUMMIT,,NC,,
FordF250,,12 446 €,,
AcuraIlx,,13 460 €,,
HondaAccordprix initial : 9 957,,9 773 €,,
BmwX3Xdrive 30iprix initial : 38 712,,36 869 €,,
ChevroletSilverado 2500V8 6.6LTZprix initial : 65 983,,66 168 €,,
ChevroletSilverado 1500V8 5.3LT,,39 541 €,,
ChevroletSilverado 1500V8 5.3LTprix initial : 21 664,,20 743 €, 25.10.2023 ETATS-UNISDétail,ESSENCE161 354 Km2014AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
NissanArmadaV8 5.6PLATINIUM,,25 814 €,,
ToyotaSiennaLIMITED EDITION,,16 134 €,,
KiaSoul1.6SPORTprix initial : 13 725,,12 896 €,,
ChevroletSilverado 1500CUSTOMprix initial : 47 236,,45 807 €,,
ChevroletTahoeV8 5.3LTprix initial : 64 061,,64 246 €,,
ChevroletSilverado 1500prix initial : 52 223,,49 181 €,,
ChevroletSilverado 1500prix initial : 56 727,,54 607 €,,
ChevroletSilverado 1500prix initial : 52 680,,49 638 €,,
ChevroletEquinox1.5LSprix initial : 28 285,,27 548 €,,
JeepGrand cherokee,,3 227 €,,
HondaCr-v,,3 411 €,,
MazdaTribute,,3 411 €,,
ChevroletEquinox,,3 227 €,,
FordEscape,,3 688 €,,
MercuryMountaineer,,3 411 €,,
ChevroletBolt euvLTprix initial : 29 663,,29 848 €,,
ChevroletSilverado 1500V8 5.3LT,,44 048 €,,
FordF150V6 3.5XLT,,39 541 €,,
ChevroletMalibu2.42LT,,NC,,
AcuraRdx2.0TECH,,34 009 €,,
Mazda32.3TOURING,,NC,,
ChevroletSuburbanV8 5.3LT,,23 867 €,,
Toyota4runnerV6 4.0SR5,,34 988 €,,
BmwSerie 3330i xdriveprix initial : 32 720,,32 259 €,,
ChryslerPacificaLIMITED,,51 901 €, 02.11.2023 ETATS-UNISDétail,ESSENCE16 Km2023AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
ChryslerPacificaTOURING,,45 383 €,,
ChryslerPacificaTOURING,,46 443 €,,
ChryslerPacificaLIMITED,,51 445 €,,
LincolnMkzSELECTprix initial : 22 578,,21 666 €,,
KiaSoulLX,,14 750 €,,
ToyotaCamry2.5LIMITED EDITIONprix initial : 12 238,,11 984 €,,
ChevroletEquinox1.51LT,,24 431 €,,
KiaSoul2.0LX,,14 750 €,,
ChevroletSilverado 1500V8 5.3WORK TRUCK,,47 596 €,,
ChevroletSilverado 1500V8 5.3LTprix initial : 54 975,,53 362 €,,
ChevroletSilverado 1500V8 6.2LT,,64 048 €,,
ChevroletSilverado 1500CUSTOM,,47 379 €,,
ChevroletSilverado 2500V8 6.0LT,,NC,,
ChevroletBlazer2.02LTprix initial : 38 634,,37 712 €,,
ChevroletMalibu1.51LS,,22 945 €,,
ChevroletSilverado 2500V8 6.6LT,,62 144 €,,
ChevroletSilverado 2500V8 6.6LT,,70 114 €,,
ChevroletSilverado 1500V8 5.3LTZ,,60 388 €,,
ChevroletSilverado 1500CUSTOM,,53 109 €,,
ChevroletSilverado 1500LTZ,,60 757 €,,
HyundaiKona1.6LIMITEDprix initial : 23 961,,23 501 €,,
HyundaiPalisadeLIMITED,,39 635 €,,
ChryslerPacificaTOURINGprix initial : 45 382,,44 461 €,,
ChryslerPacificaTOURINGprix initial : 46 443,,45 521 €,,
ChryslerPacificaLIMITEDprix initial : 51 901,,50 979 €, 04.11.2023 ETATS-UNISDétail,ESSENCE16 Km2023AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
ChryslerPacificaTOURINGprix initial : 47 314,,46 393 €,,
ChryslerPacificaLIMITEDprix initial : 51 444,,50 523 €,,
KiaSportage1.6LX4X2prix initial : 27 655,,26 727 €,,
KiaCarnivalEXprix initial : 39 634,,38 713 €,,
ChevroletSilverado 1500Double cabV8 5.3LT,,18 439 €,,
FordF350Super cabLARIATprix initial : 59 926,,57 161 €,,
ChevroletImpalaV6 3.61LT,,21 102 €,,
ChevroletEquinox2.42LT,,NC,,
JaguarF-pace30t2.0PRESTIGEAWDprix initial : 29 041,,27 649 €,,
ChevroletSonic1.4LT,,NC,,
GmcSierra 2500V8 6.6SLT,,36 873 €,,
ChevroletTahoeV8 6.2prix initial : 72 755,,72 940 €,,
ChevroletSilverado 3500V8 6.6LT,,51 526 €,,
VolkswagenPassatV6 3.6SEL,,NC,,
ChevroletSilverado 1500CUSTOMprix initial : 45 853,,44 424 €,,
GmcTerrain1.5SLT,,32 165 €,,
GmcSierra 1500V8 5.3SLE,,27 555 €,,
GmcTerrain1.5SLT,,32 165 €,,
ChevroletSilverado 1500V8 5.3LT,,44 150 €,,
ChevroletSilverado 1500LTprix initial : 53 440,,50 398 €,,
ChevroletTahoeV8 5.3,,65 740 €,,
ChevroletTahoeV8 5.3LS,,55 999 €,,
ChevroletTahoeV8 6.2HIGH COUNTRYprix initial : 78 361,,78 546 €,,
ChevroletSilverado 2500V8 6.6LTZprix initial : 68 026,,68 210 €,,
MazdaCx-52.5TOURING,,NC, 08.11.2023 ETATS-UNISDétail,ESSENCE207 042 Km2016AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
ChryslerPacificaTOURING,,29 500 €,,
NissanSentra1.8SV,,13 818 €,,
ChevroletSilverado 1500V8 5.3WORK TRUCKprix initial : 48 194,,47 688 €,,
MiniMiniCooper1.5,,NC,,
ChevroletTraverseV6 3.6LSprix initial : 35 587,,34 850 €,,
ChevroletSilverado 1500V8 5.3LTprix initial : 58 400,,56 280 €,,
ChevroletSilverado 2500V8 6.6LTZprix initial : 69 450,,69 635 €,,
ChevroletSilverado 1500V8 6.2prix initial : 60 134,,58 014 €,,
ChevroletTraverseV6 3.6LTprix initial : 39 445,,38 708 €,,
FordF150V6 3.5XLT,,32 267 €,,
ChevroletColoradoZ71V6 3.6,,35 853 €,,
ChevroletTraverseV6 3.6LTprix initial : 41 192,,40 455 €,,
FordF150V8 5.0LARIAT,,25 814 €,,
ChevroletSilverado 1500V8 5.3prix initial : 57 100,,54 980 €,,
KenworthT170,,43 332 €,,
AcuraRdxTECH,,34 009 €,,
DodgeDurangoGT,,48 647 €,,
ToyotaCamry2.5LIMITED EDITION,,NC,,
AcuraTlV6 3.5,,13 317 €,,
ChevroletImpalaV6 3.6LT,,22 945 €,,
HondaCivicSI,,7 376 €,,
ChevroletTraverseV6 3.6LTprix initial : 41 649,,40 912 €,,
ChevroletTahoeV8 6.2HIGH COUNTRYprix initial : 78 370,,78 555 €,,
SubaruAscent2.4LIMITED,,NC,,
SubaruOutback2.5LIMITED,,27 555 €, 13.11.2023 ETATS-UNISDétail,ESSENCE49 135 Km2019AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
CadillacXt5V6 3.6PREMIUM LUXURY,,NC,,
KiaSorentoEX,,27 555 €,,
AcuraTl,,13 317 €,,
CadillacXt5V6 3.6LUXURY,,NC,,
FordExpeditionV6 3.5KING RANCH,,NC,,
MitsubishiOutlanderES SPORT,,12 898 €,,
DodgeDurango,,11 052 €,,
FreightlinerSprinterprix initial : 43 331,,38 722 €,,
ChevroletSilverado 1500V8 5.3LTZprix initial : 61 558,,61 052 €,,
GmcSierra 1500SLT,,24 789 €,,
ChevroletSilverado 1500V8 5.3LT,,NC,,
ChevroletMalibu2.51LT,,NC,,
ChevroletSilverado 3500V8 6.6HIGH COUNTRY,,83 294 €,,
DodgeDurangoV6 3.6,,9 215 €,,
ToyotaCamrySE,,9 208 €,,
SubaruOutbackLIMITED,,11 974 €,,
ToyotaCorollaLIMITED EDITION,,4 599 €,,
ChevroletSilverado 2500V8 6.6LTprix initial : 61 627,,61 812 €,,
LexusLx 470,,16 590 €,,
KiaForteLX,,13 820 €,,
AcuraTlxTECH,,21 204 €,,
AcuraTlx2.4TECH,,21 204 €,,
VolkswagenGolf sw1.8S,,NC,,
ChevroletSilverado 2500V8 6.6WORK TRUCK,,51 108 €,,
ChevroletSilverado 2500V8 6.6WORK TRUCK,,51 187 €, 18.11.2023 ETATS-UNISDétail,ESSENCE16 Km2024AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
SmartFortwo0.7sponsorisée,,NC,,
MitsubishiLancer2.0ES SPORT,,NC,,
VolvoS90T6INSCRIPTION,,24 789 €,,
VolkswagenTaosBLACK,,25 805 €,,
ChevroletSilverado 1500V8 5.3LT,,55 760 €,,
ChevroletSilverado 1500,,58 525 €,,
ChevroletSilverado 1500CUSTOM,,46 872 €,,
ChevroletSilverado 1500V8 6.2,,77 444 €,,
ChevroletSilverado 1500LTZ,,61 264 €,,
ToyotaCamrySE,,20 191 €,,
ChevroletSonicLT,,6 443 €,,
KiaSoulprix initial : 11 893,,11 617 €,,
ChevroletBlazerV6 3.6RS,,47 033 €,,
ChevroletSilverado 1500LT,,53 441 €,,
ChevroletSilverado 1500,,58 890 €,,
ChevroletSilverado 1500V8 5.3WORK TRUCK,,48 103 €,,
ChevroletEquinox1.5RS,,35 186 €,,
GmcSierra 1500V8 5.3SLE,,NC,,
MiniCountrymanCooper s1.6BASE,,NC,,
FordF150Super crewprix initial : 52 171,,50 696 €,,
JeepWranglerUnlimited,,37 789 €,,
FordF150Super crew,,47 008 €,,
FordF150Super cab,,3 227 €,,
ChevroletColorado,,25 804 €,,
Chrysler300c,,23 038 €,,
NissanMaximaprix initial : 24 881,,23 038 €,,
SmartFortwo0.7sponsorisée,,NC, 12.11.2023 PAYS-BASDétail,ESSENCE93 000 Km2003AUTOMATIQUE7693DEVIS ASSURANCEVENDEZ
HummerH2,,20 283 €,,
Ram trucksRam 1500,,33 179 €,,
ToyotaRav4,,27 647 €,,
LincolnAviatorprix initial : 52 540,,50 051 €,,
DodgeGrand caravan,,30 332 €,,
LincolnAviatorprix initial : 60 468,,58 072 €,,
FordExplorer,,40 555 €,,
HyundaiVeloster1.6,,5 486 €,,
FordExplorerPOLICE INTERCEPTOR,,16 595 €,,
SubaruOutbackprix initial : 35 771,,34 896 €,,
ChryslerPacifica,,NC,,
ToyotaSiennaLIMITED EDITIONprix initial : 4 425,,3 688 €,,
GmcSierra 1500V8 5.3SLE,,36 832 €,,
Ram trucksRam promaster city,,29 041 €,,
DodgeRam 2500,,16 549 €,,
ChryslerTown & country,,24 800 €,,
MitsubishiLancer evolution,,16 595 €,,
FordTransit connectVanXLT,,19 360 €,,
ChevroletImpala,,13 368 €,,
NissanRogue,,21 204 €,,
KiaSorentoLX,,10 141 €,,
FordFusion,,10 141 €,,
ToyotaHighlanderLIMITED EDITION,,44 714 €,,
ChevroletCamaroRsLT,,14 750 €,,
ChevroletEquinoxLT,,15 211 €, 08.11.2023 ETATS-UNISDétail,ESSENCE191 512 Km2019AUTOMATIQUE99513DEVIS ASSURANCEVENDEZ
ChryslerVoyager,,48 859 €,,
MercedesSprinter,,82 883 €,,
GmcYukonDenaliV8 6.2,,16 503 €,,
FordF150Super crewV8 5.4,,6 361 €,,
SubaruForester4X4,,4 333 €,,
CadillacEscalade esvV8 6.2,,29 041 €,,
Ram trucksRam 1500,,24 800 €,,
Ram trucksRam 1500V8 5.7,,24 432 €,,
SubaruForester4X4prix initial : 4 333,,4 057 €,,
DodgeRam 5500,,27 659 €,,
LexusNx 300h,,26 276 €,,
JeepGrand cherokee,,18 336 €,,
JeepRenegade,,21 470 €,,
JeepGladiatorV6 3.6,,44 150 €,,
Toyota4runner,,43 597 €,,
FordF150Super crew,,25 158 €,,
FordEcosport,,23 314 €,,
GmcSierra 1500Crew cab,,27 555 €,,
FordEdge,,35 023 €,,
FordF150Super crew,,33 732 €,,
NissanMurano,,33 179 €,,
FordBronco sportBig bend1.5SPORT,,31 335 €,,
FordMaverick,,33 179 €,,
FordExpedition,,79 277 €,,
FordF150Super crew,,54 384 €, 19.11.2023 ETATS-UNISDétail,ESSENCE5 536 Km2023AUTOMATIQUE99513DEVIS ASSURANCEVENDEZ
JeepWranglerUnlimited,,36 867 €,,
Ram trucksRam 1500,,37 789 €,,
FordRanger,,44 796 €,,
ChevroletSilverado 1500Crew cab,,34 101 €,,
LincolnNavigator,,60 838 €,,
FordExplorer,,39 633 €,,
Ram trucksRam 1500Crew cab,,37 420 €,,
FordF150Super crew,,47 930 €,,
ChevroletSilverado 1500Regular cab,,32 810 €,,
LincolnCorsair,,35 945 €,,
FordF150Super crew,,35 576 €,,
ChevroletSuburban,,54 937 €,,
GmcSierra 1500Crew cab,,59 916 €,,
GmcAcadia,,30 321 €,,
FordF250Crew cab,,63 603 €,,
FordF150Super crew,,38 342 €,,
FordRanger,,34 101 €,,
FordF150Super crew,,64 525 €,,
FordF150Super crew,,44 150 €,,
ChevroletSilverado 1500Regular cab,,31 335 €,,
FordRanger,,44 796 €,,
FordF150Super crew,,43 321 €,,
FordF150Super crew,,45 164 €,,
LincolnNavigatorprix initial : 39 639,,25 810 €,,
JeepGrand cherokeeV6 3.6LAREDOprix initial : 36 873,,32 725 €, 02.12.2021 ETATS-UNISDétail,ESSENCE34 413 Km2018AUTOMATIQUE99518DEVIS ASSURANCEVENDEZ
CitroenC4 cactus1.2FEELsponsoriséeprix initial : 9 990,,9 490 €,,
FordEscape2.0TITANIUMprix initial : 34 107,,29 498 €,,
KiaOptima2.4Sprix initial : 27 653,,23 044 €,,
FordF150V6 3.0KING RANCHprix initial : 51 624,,37 795 €,,
KiaSorento2.4LXprix initial : 30 424,,24 888 €,,
FordEcosport2.0SESprix initial : 28 575,,22 122 €,,
JeepGrand cherokeeV6 3.6LAREDOprix initial : 42 405,,36 873 €,,
HondaCr-v1.5EXprix initial : 30 419,,24 888 €,,
HondaCr-v1.5EXprix initial : 35 029,,29 498 €,,
KiaSportage2.4LX4X2prix initial : 33 185,,26 732 €,,
ChevroletEquinox1.52LTprix initial : 32 263,,25 810 €,,
NissanRogue2.5SVprix initial : 29 497,,24 888 €,,
KiaSorento2.4LXprix initial : 33 185,,24 888 €,,
DodgeChallengerRtV8 5.7PLUSprix initial : 34 112,,26 732 €,,
GmcAcadiaV6 3.6SLTprix initial : 36 873,,29 498 €,,
FordF150V6 2.7XLTprix initial : 44 248,,35 951 €,,
DodgeDurangoV6 3.6prix initial : 39 639,,33 186 €,,
FordFusion2.0TITANIUMprix initial : 27 653,,21 200 €,,
ChevroletTraverseV6 3.6LTprix initial : 41 483,,35 951 €,,
DodgeDurangoV6 3.6GTprix initial : 42 405,,34 108 €,,
GmcSierra 1500V8 5.3SLTprix initial : 59 000,,51 625 €,,
FordF250V8 6.2XLprix initial : 42 405,,35 029 €,,
ChevroletSilverado 2500V8 6.6WORK TRUCKprix initial : 42 405,,36 873 €,,
ChevroletSilverado 2500V8 6.0WORK TRUCKprix initial : 33 185,,22 122 €,,
Ram trucksRam 3500V8 6.7LARAMIEprix initial : 55 312,,45 171 €,,
Ram trucksRam 1500V8 5.7SLTprix initial : 36 873,,31 342 €,,
CitroenC4 cactus1.2FEELsponsoriséeprix initial : 9 990,,9 490 €, 02.11.2023 FRANCEDétail,ESSENCE150 500 Km2016MANUELLE44430DEVIS ASSURANCEVENDEZ
JeepCherokee2.4LATITUDEprix initial : 31 341,,25 810 €,,
GmcYukonV8 5.3SLTprix initial : 42 405,,35 029 €,,
FordE350V8 5.4XLprix initial : 27 653,,23 966 €,,
Ram trucksRam 1500V6 3.0LARAMIEprix initial : 39 639,,36 873 €,,
Toyota4runnerV6 4.0LIMITED EDITIONprix initial : 37 795,,34 108 €,,
KiaSportage2.4LX4X4prix initial : 23 044,,21 200 €,,
GmcAcadiaV6 3.6prix initial : 36 873,,34 108 €,,
BmwX1Xdrive 28i2.0prix initial : 32 263,,29 498 €,,
Ram trucksRam 1500V8 5.7BIG HORNprix initial : 49 780,,45 171 €,,
HondaCr-v1.5EXprix initial : 39 639,,34 108 €,,
InfinitiQx60V6 3.5BASEprix initial : 30 419,,24 888 €,,
KiaSoul1.6BASEprix initial : 11 058,,8 293 €,,
GmcSierra 3500hdDenaliprix initial : 50 702,,48 859 €,,
BuickEncorePREMIUMprix initial : 22 122,,20 278 €,,
HyundaiSanta fePREMIUMprix initial : 31 161,,24 893 €,,
HyundaiSanta feSELprix initial : 31 161,,24 893 €,,
NissanSentra1.8SVprix initial : 16 590,,13 825 €,,
KiaRio1.6LXprix initial : 22 122,,17 512 €,,
MercedesClasse cC 3002.04MATICprix initial : 27 653,,23 966 €,,
VolkswagenJetta1.4Sprix initial : 22 122,,17 512 €,,
ChevroletExpress2500V8 6.6prix initial : 45 170,,40 561 €,,
GmcSierra 1500V8 5.3SLTprix initial : 46 092,,36 873 €,,
Ram trucksRam 1500V8 5.7SLTprix initial : 40 561,,33 186 €,,
Ram trucksRam promaster city2.4SLTprix initial : 27 653,,22 122 €,,
ChevroletExpress2500V6 4.3prix initial : 42 409,,41 483 €, 14.05.2023 ETATS-UNISDétail,ESSENCE45 717 Km2021AUTOMATIQUE99518DEVIS ASSURANCEVENDEZ
HondaCr-v1.5EXprix initial : 30 419,,27 654 €,,
ChevroletSilverado 1500V8 6.2prix initial : 72 822,,61 760 €,,
ChevroletSilverado 2500Crew cabV8 6.6WORK TRUCKprix initial : 33 185,,26 732 €,,
CadillacXt5V6 3.6PREMIUM LUXURYprix initial : 52 540,,44 243 €,,
GmcSierra 3500V8 6.6prix initial : 80 198,,72 823 €,,
ToyotaCamry2.5SEprix initial : 29 491,,23 038 €,,
HyundaiElantraSELprix initial : 27 002,,25 532 €,,
CadillacCt6V6 3.6PREMIUM LUXURYprix initial : 36 873,,30 420 €,,
ChevroletSilverado 1500V8 5.3LTprix initial : 51 624,,47 015 €,,
VolvoXc602.0INSCRIPTIONprix initial : 53 468,,47 015 €,,
FordF150V6 2.7XLTprix initial : 34 107,,30 420 €,,
MazdaCx-30prix initial : 28 903,,24 893 €,,
FordF350V8 6.7PLATINUMprix initial : 73 744,,66 369 €,,
KiaSorento2.5LXprix initial : 26 275,,25 815 €,,
MiniMiniCooper1.6prix initial : 14 746,,11 520 €,,
ChevroletTahoeV8 5.3LTprix initial : 42 405,,35 951 €,,
NissanRogue2.5SVprix initial : 23 966,,20 278 €,,
JeepWranglerUnlimitedV6 3.6SAHARAprix initial : 29 318,,24 432 €,,
FordF250V8 6.7LIMITEDprix initial : 90 346,,82 971 €,,
JeepWranglerUnlimited2.0SAHARAprix initial : 41 476,,35 023 €,,
HyundaiTucson1.6SELprix initial : 38 323,,35 101 €,,
HyundaiTucson1.6LIMITEDprix initial : 42 762,,39 541 €,,
KiaSorento1.6LX,,25 815 €,,
JeepGladiatorV6 3.6OVERLANDprix initial : 48 852,,45 164 €,,
ChevroletSuburbanV8 5.3LSprix initial : 58 071,,50 696 €, 29.06.2023 ETATS-UNISDétail,ESSENCE40 552 Km2021AUTOMATIQUE99518DEVIS ASSURANCEVENDEZ
