Titre,motclé,tag,tag1,date,upper,information,information7,information8,information9,tag12
"

                              10 082 €  ","MERCEDES
CLASSE S
S 500",MERCEDES,CLASSE S, 19/01/2023, RUSSIE,ESSENCE,136 000 KM,1991,AUTOMATIQUE,S 500
,"MERCEDES
CLASSE E
E 55 AMG",MERCEDES,CLASSE E, 19/01/2023, RUSSIE,ESSENCE,110 000 KM,1998,AUTOMATIQUE,E 55 AMG
"

                              15 980 €  ","MERCEDES
GLK 300",MERCEDES,GLK 300, 19/01/2023, RUSSIE,ESSENCE,134 153 KM,2012,AUTOMATIQUE,GLK 300
,"MERCEDES
CLASSE S
S 600",MERCEDES,CLASSE S, 19/01/2023, RUSSIE,ESSENCE,128 000 KM,2002,AUTOMATIQUE,S 600
"

                              18 853 €  ","MERCEDES
CLASSE S
S 3504MATIC",MERCEDES,CLASSE S, 19/01/2023, RUSSIE,ESSENCE,183 200 KM,2010,AUTOMATIQUE,S 350
"

                              16 635 €  ","MERCEDES
GL 500",MERCEDES,GL 500, 19/01/2023, RUSSIE,ESSENCE,156 513 KM,2008,AUTOMATIQUE,GL 500
"

                              15 123 €  ","MERCEDES
CLASSE E
E 2001.8",MERCEDES,CLASSE E, 19/01/2023, RUSSIE,ESSENCE,350 000 KM,2011,AUTOMATIQUE,E 200
"

                              13 510 €  ","MERCEDES
CLASSE S
S 280",MERCEDES,CLASSE S, 19/01/2023, RUSSIE,ESSENCE,192 000 KM,1985,MANUELLE,S 280
,"MERCEDES
GLS MAYBACH
GLS 600",MERCEDES,GLS MAYBACH, 19/01/2023, RUSSIE,ESSENCE,10 KM,2021,AUTOMATIQUE,GLS 600
"

                              119 371 €  ","MERCEDES
CLASSE E
E 3002.04MATIC",MERCEDES,CLASSE E, 19/01/2023, RUSSIE,DIESEL,10 KM,2022,AUTOMATIQUE,E 300
,"MERCEDES
CLASSE S
S 65 AMG",MERCEDES,CLASSE S, 19/01/2023, RUSSIE,ESSENCE,74 500 KM,2014,AUTOMATIQUE,S 65 AMG
"

                              80 656 €  ","MERCEDES
CLASSE G
G 5004MATIC",MERCEDES,CLASSE G, 19/01/2023, RUSSIE,ESSENCE,116 000 KM,2007,AUTOMATIQUE,G 500
"

                              79 648 €  ","MERCEDES
CLASSE V
V 2204MATIC",MERCEDES,CLASSE V, 19/01/2023, RUSSIE,DIESEL,14 000 KM,2019,AUTOMATIQUE,V 220
,"MERCEDES
GLS 3504MATIC",MERCEDES,GLS 3504MATIC, 19/01/2023, RUSSIE,DIESEL,58 000 KM,2017,AUTOMATIQUE,GLS 350
"

                              65 533 €  ","MERCEDES
GLE 43 AMG4MATIC",MERCEDES,GLE 43 AMG4MATIC, 19/01/2023, RUSSIE,ESSENCE,26 000 KM,2018,AUTOMATIQUE,GLE 43 AMG
"

                              39 320 €  ","MERCEDES
CLS 350V6 3.04MATIC",MERCEDES,CLS 350V6 3.04MATIC, 19/01/2023, RUSSIE,DIESEL,68 035 KM,2015,AUTOMATIQUE,CLS 350
"

                              39 824 €  ","MERCEDES
CLASSE S
S 3504MATIC",MERCEDES,CLASSE S, 19/01/2023, RUSSIE,DIESEL,125 000 KM,2015,AUTOMATIQUE,S 350
,"MERCEDES
CLASSE E
E 2202.04MATIC",MERCEDES,CLASSE E, 19/01/2023, RUSSIE,DIESEL,59 000 KM,2019,AUTOMATIQUE,E 220
"

                              37 808 €  ","MERCEDES
GL 350",MERCEDES,GL 350, 19/01/2023, RUSSIE,DIESEL,260 000 KM,2015,AUTOMATIQUE,GL 350
,"MERCEDES
GLC 2204MATIC",MERCEDES,GLC 2204MATIC, 19/01/2023, RUSSIE,DIESEL,143 000 KM,2017,AUTOMATIQUE,GLC 220
,"MERCEDES
VARIO
2.9",MERCEDES,VARIO, 19/01/2023, RUSSIE,DIESEL,350 000 KM,1998,MANUELLE,2.9
,"MERCEDES
CLASSE C
C 230",MERCEDES,CLASSE C, 19/01/2023, RUSSIE,ESSENCE,275 000 KM,1995,MANUELLE,C 230
,"MERCEDES
CLASSE M
ML 63 AMG",MERCEDES,CLASSE M, 19/01/2023, RUSSIE,ESSENCE,120 000 KM,2014,AUTOMATIQUE,ML 63 AMG
"

                              3 579 €  ","MERCEDES
CLASSE E
E 2302.3",MERCEDES,CLASSE E, 19/01/2023, RUSSIE,ESSENCE,396 000 KM,1983,MANUELLE,E 230
,"FORD
FOCUS
1.6",FORD,FOCUS, 20/01/2023, RUSSIE,ESSENCE,205 000 KM,2010,AUTOMATIQUE,1.6
"

                              22 180 €  ","BMW
SERIE 5
520",BMW,SERIE 5, 20/01/2023, RUSSIE,DIESEL,203 000 KM,2014,AUTOMATIQUE,520
"

                              33 271 €  ","MAZDA
2
2.0",MAZDA,2, 20/01/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,2.0
"

                              19 156 €  ","MINI
CLUBMAN
COOPER1.5",MINI,CLUBMAN, 22/01/2023, RUSSIE,DIESEL,95 000 KM,2019,AUTOMATIQUE,COOPER
"

                              16 635 €  ","PEUGEOT
BOXER
2.2",PEUGEOT,BOXER, 22/01/2023, RUSSIE,DIESEL,15 000 KM,2014,MANUELLE,2.2
,"UAZ
PATRIOT
2.7",UAZ,PATRIOT, 22/01/2023, RUSSIE,ESSENCE,148 440 KM,2011,MANUELLE,2.7
,"NISSAN
SERENA",NISSAN,SERENA, 22/01/2023, RUSSIE,HYBRIDE,42 530 KM,2018,AUTOMATIQUE,
,"DATSUN
MI-DO
1.6",DATSUN,MI-DO, 24/01/2023, RUSSIE,ESSENCE,93 000 KM,2019,MANUELLE,1.6
,"AUDI
A8
50 TDIV6 3.0QUATTRO",AUDI,A8, 24/01/2023, RUSSIE,DIESEL,44 000 KM,2018,AUTOMATIQUE,50 TDI
"

                              2 722 €  ","CITROEN
C3
1.4",CITROEN,C3, 24/01/2023, RUSSIE,ESSENCE,111 000 KM,2003,AUTOMATIQUE,1.4
,"RENAULT
CAPTUR
1.6",RENAULT,CAPTUR, 24/01/2023, RUSSIE,ESSENCE,78 000 KM,2020,AUTOMATIQUE,1.6
"

                              6 049 €  ","CHEVROLET
LACETTI
1.6",CHEVROLET,LACETTI, 24/01/2023, RUSSIE,ESSENCE,220 000 KM,2012,MANUELLE,1.6
"

                              34 783 €  ","MAZDA
2
2.0",MAZDA,2, 25/01/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,2.0
"

                              40 328 €  ","SKODA
KODIAQ
2.0",SKODA,KODIAQ, 25/01/2023, RUSSIE,DIESEL,30 000 KM,2019,AUTOMATIQUE,2.0
"

                              4 678 €  ","CHEVROLET
NIVA
1.7",CHEVROLET,NIVA, 25/01/2023, RUSSIE,ESSENCE,122 000 KM,2012,MANUELLE,1.7
"

                              56 157 €  ","FORD
F150
3.5",FORD,F150, 25/01/2023, RUSSIE,ESSENCE,9 000 KM,2019,AUTOMATIQUE,3.5
"

                              29 742 €  ","MERCEDES
CLASSE C
C 2202.0",MERCEDES,CLASSE C, 25/01/2023, RUSSIE,DIESEL,114 000 KM,2019,AUTOMATIQUE,C 220
"

                              8 771 €  ","PONTIAC
VIBE
1.8",PONTIAC,VIBE, 26/01/2023, RUSSIE,ESSENCE,200 000 KM,2004,AUTOMATIQUE,1.8
"

                              28 240 €  ","DODGE
GRAND CARAVAN
V6 3.6",DODGE,GRAND CARAVAN, 26/01/2023, RUSSIE,ESSENCE,59 546 KM,2020,AUTOMATIQUE,V6 3.6
,"FORD
F350
V8 6.2",FORD,F350, 26/01/2023, RUSSIE,ESSENCE,134 000 KM,2011,AUTOMATIQUE,V8 6.2
,"NISSAN
BLUEBIRD
2.0",NISSAN,BLUEBIRD, 27/01/2023, RUSSIE,DIESEL,100 000 KM,1987,MANUELLE,2.0
,"LAND ROVER
RANGE ROVER SPORT
3.0AWD",LAND ROVER,RANGE ROVER SPORT, 28/01/2023, RUSSIE,DIESEL,130 000 KM,2014,AUTOMATIQUE,3.0
,"MAZDA
6
2.5",MAZDA,6, 28/01/2023, RUSSIE,ESSENCE,200 000 KM,2013,AUTOMATIQUE,2.5
"

                              36 799 €  ","AUDI
Q7
45 TDIV6 3.0QUATTRO",AUDI,Q7, 29/01/2023, RUSSIE,DIESEL,172 000 KM,2017,AUTOMATIQUE,45 TDI
"

                              17 543 €  ","GAC MOTOR
GS4",GAC MOTOR,GS4, 29/01/2023, RUSSIE,-,93 000 KM,2018,AUTOMATIQUE,
"

                              10 032 €  ","SUZUKI
SOLIO
1.2",SUZUKI,SOLIO, 29/01/2023, RUSSIE,ESSENCE,118 150 KM,2018,AUTOMATIQUE,1.2
"

                              33 261 €  ","LAND ROVER
RANGE ROVER SPORT
SDV8V8 4.4AWD",LAND ROVER,RANGE ROVER SPORT, 29/01/2023, RUSSIE,DIESEL,181 000 KM,2014,AUTOMATIQUE,SDV8
"

                              6 049 €  ","MITSUBISHI
L400
2.5",MITSUBISHI,L400, 29/01/2023, RUSSIE,DIESEL,180 000 KM,1998,MANUELLE,2.5
,"MITSUBISHI
DELICA",MITSUBISHI,DELICA, 29/01/2023, RUSSIE,DIESEL,220 000 KM,1991,MANUELLE,
"

                              12 098 €  ","SUBARU
FORESTER
2.0",SUBARU,FORESTER, 30/01/2023, RUSSIE,ESSENCE,195 000 KM,2012,AUTOMATIQUE,2.0
"

                              3 176 €  ","MITSUBISHI
LANCER
1.6",MITSUBISHI,LANCER, 30/01/2023, RUSSIE,ESSENCE,245 841 KM,2007,MANUELLE,1.6
,"FORD
THUNDERBIRD
V8 4.6",FORD,THUNDERBIRD, 30/01/2023, RUSSIE,ESSENCE,190 000 KM,1996,AUTOMATIQUE,V8 4.6
"

                              19 660 €  ","AUDI
A4
35 TDI2.0",AUDI,A4, 31/01/2023, RUSSIE,DIESEL,187 000 KM,2019,AUTOMATIQUE,35 TDI
"

                              49 422 €  ","MINI
COUNTRYMAN
COOPER1.5",MINI,COUNTRYMAN, 31/01/2023, RUSSIE,ESSENCE,19 KM,2022,AUTOMATIQUE,COOPER
,"HAVAL
JOLION
1.5",HAVAL,JOLION, 01/02/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,1.5
"

                              3 529 €  ","MITSUBISHI
PAJERO
2.4",MITSUBISHI,PAJERO, 01/02/2023, RUSSIE,ESSENCE,256 000 KM,1996,MANUELLE,2.4
"

                              7 551 €  ","CHEVROLET
AVEO
1.6",CHEVROLET,AVEO, 01/02/2023, RUSSIE,ESSENCE,118 844 KM,2013,AUTOMATIQUE,1.6
"

                              27 726 €  ","MERCEDES
CLASSE M
ML 350",MERCEDES,CLASSE M, 01/02/2023, RUSSIE,ESSENCE,157 000 KM,2013,AUTOMATIQUE,ML 350
,"HAVAL
H9",HAVAL,H9, 02/02/2023, RUSSIE,ESSENCE,10 KM,2022,AUTOMATIQUE,
"

                              8 066 €  ","RENAULT
SCENIC
1.6",RENAULT,SCENIC, 02/02/2023, RUSSIE,ESSENCE,118 000 KM,2008,AUTOMATIQUE,1.6
,"MAZDA
323
1.5",MAZDA,323, 02/02/2023, RUSSIE,ESSENCE,480 000 KM,1996,MANUELLE,1.5
"

                              23 189 €  ","MERCEDES
CL 500",MERCEDES,CL 500, 02/02/2023, RUSSIE,ESSENCE,284 000 KM,1998,AUTOMATIQUE,CL 500
,"MERCEDES
CLASSE A
A 180",MERCEDES,CLASSE A, 02/02/2023, RUSSIE,ESSENCE,44 000 KM,2011,AUTOMATIQUE,A 180
,"CHEVROLET
CAMARO",CHEVROLET,CAMARO, 02/02/2023, RUSSIE,ESSENCE,131 500 KM,1969,AUTOMATIQUE,
"

                              23 884 €  ","HAVAL
JOLION
1.5",HAVAL,JOLION, 03/02/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,1.5
,"GEELY
COOLRAY
1.5",GEELY,COOLRAY, 03/02/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,1.5
,"CITROEN
C3 PICASSO
1.6",CITROEN,C3 PICASSO, 03/02/2023, RUSSIE,ESSENCE,120 000 KM,2012,AUTOMATIQUE,1.6
"

                              24 197 €  ","HONDA
STEPWGN",HONDA,STEPWGN, 03/02/2023, RUSSIE,ESSENCE,105 000 KM,2020,AUTOMATIQUE,
"

                              3 781 €  ","FORD
FUSION
1.4",FORD,FUSION, 04/02/2023, RUSSIE,ESSENCE,137 211 KM,2007,MANUELLE,1.4
"

                              41 840 €  ","MERCEDES
SPRINTER
3162.2",MERCEDES,SPRINTER, 04/02/2023, RUSSIE,DIESEL,192 000 KM,2019,MANUELLE,316
,"HAVAL
JOLION
1.5",HAVAL,JOLION, 05/02/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,1.5
,"HAVAL
JOLION
1.5",HAVAL,JOLION, 05/02/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,1.5
"

                              38 816 €  ","VOLVO
XC60
D42.0",VOLVO,XC60, 05/02/2023, RUSSIE,DIESEL,49 800 KM,2019,AUTOMATIQUE,D4
"

                              13 107 €  ","NISSAN
NOTE
1.2",NISSAN,NOTE, 05/02/2023, RUSSIE,-,54 000 KM,2016,AUTOMATIQUE,1.2
"

                              4 638 €  ","ZIL
5301",ZIL,5301, 06/02/2023, RUSSIE,ESSENCE,50 000 KM,2000,AUTOMATIQUE,
"

                              24 213 €  ","GEELY
COOLRAY
1.5",GEELY,COOLRAY, 06/02/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,1.5
,"JEEP
GRAND CHEROKEE
SRTV6 3.6",JEEP,GRAND CHEROKEE, 06/02/2023, RUSSIE,ESSENCE,180 000 KM,2013,AUTOMATIQUE,SRT
,"CITROEN
C5
2.0",CITROEN,C5, 06/02/2023, RUSSIE,ESSENCE,304 000 KM,2004,AUTOMATIQUE,2.0
,"OPEL
ASTRA GTC
1.8",OPEL,ASTRA GTC, 06/02/2023, RUSSIE,ESSENCE,132 970 KM,2007,AUTOMATIQUE,1.8
"

                              12 703 €  ","NISSAN
JUKE
1.64X4",NISSAN,JUKE, 07/02/2023, RUSSIE,ESSENCE,152 000 KM,2012,AUTOMATIQUE,1.6
,"HAVAL
H9",HAVAL,H9, 08/02/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,
,"HAVAL
H9",HAVAL,H9, 08/02/2023, RUSSIE,ESSENCE,10 KM,2022,AUTOMATIQUE,
"

                              50 410 €  ","TESLA
MODEL Y
GRANDE AUTONOMIE",TESLA,MODEL Y, 08/02/2023, RUSSIE,ELECTRIQUE,30 000 KM,2020,AUTOMATIQUE,GRANDE AUTONOMIE
"

                              7 259 €  ","SKODA
OCTAVIA
1.8",SKODA,OCTAVIA, 08/02/2023, RUSSIE,ESSENCE,281 934 KM,2008,MANUELLE,1.8
"

                              24 197 €  ","MITSUBISHI
OUTLANDER
2.44X4",MITSUBISHI,OUTLANDER, 08/02/2023, RUSSIE,ESSENCE,80 776 KM,2018,AUTOMATIQUE,2.4
,"FORD
BRONCO SPORT
1.5SPORT",FORD,BRONCO SPORT, 08/02/2023, RUSSIE,ESSENCE,39 000 KM,2021,AUTOMATIQUE,1.5
"

                              15 425 €  ","HYUNDAI
H1
2.5",HYUNDAI,H1, 08/02/2023, RUSSIE,DIESEL,195 000 KM,2011,MANUELLE,2.5
"

                              110 872 €  ","HYUNDAI
STARIA
2.2",HYUNDAI,STARIA, 08/02/2023, RUSSIE,DIESEL,277 KM,2022,AUTOMATIQUE,2.2
"

                              9 477 €  ","HYUNDAI
SANTA FE
V6 2.7",HYUNDAI,SANTA FE, 08/02/2023, RUSSIE,ESSENCE,219 005 KM,2006,MANUELLE,V6 2.7
"

                              85 667 €  ","HYUNDAI
STARIA
2.2",HYUNDAI,STARIA, 08/02/2023, RUSSIE,DIESEL,57 KM,2021,AUTOMATIQUE,2.2
,"HYUNDAI
STAREX
2.5",HYUNDAI,STAREX, 08/02/2023, RUSSIE,DIESEL,3 710 KM,2020,AUTOMATIQUE,2.5
,"HYUNDAI
SANTA FE
2.24X4",HYUNDAI,SANTA FE, 08/02/2023, RUSSIE,DIESEL,198 000 KM,2009,AUTOMATIQUE,2.2
"

                              40 227 €  ","HYUNDAI
H1
2.5",HYUNDAI,H1, 08/02/2023, RUSSIE,DIESEL,26 900 KM,2021,AUTOMATIQUE,2.5
"

                              13 308 €  ","HYUNDAI
IX35
2.04X4",HYUNDAI,IX35, 08/02/2023, RUSSIE,ESSENCE,176 138 KM,2012,AUTOMATIQUE,2.0
"

                              2 974 €  ","HYUNDAI
MATRIX
1.6",HYUNDAI,MATRIX, 08/02/2023, RUSSIE,ESSENCE,195 000 KM,2004,MANUELLE,1.6
,"HYUNDAI
SANTA FE",HYUNDAI,SANTA FE, 08/02/2023, RUSSIE,ESSENCE,10 KM,2022,AUTOMATIQUE,
"

                              2 823 €  ","HYUNDAI
GRACE",HYUNDAI,GRACE, 08/02/2023, RUSSIE,DIESEL,150 000 KM,1992,MANUELLE,
﻿"

                              11 897 €  ","HYUNDAI
SOLARIS
1.6",HYUNDAI,SOLARIS, 08/02/2023, RUSSIE,ESSENCE,98 200 KM,2016,AUTOMATIQUE,1.6
"

                              14 115 €  ","HYUNDAI
H1
2.4",HYUNDAI,H1, 08/02/2023, RUSSIE,ESSENCE,271 000 KM,2010,AUTOMATIQUE,2.4
"

                              16 837 €  ","HYUNDAI
SOLARIS
1.6",HYUNDAI,SOLARIS, 08/02/2023, RUSSIE,ESSENCE,28 300 KM,2021,MANUELLE,1.6
"

                              16 988 €  ","HYUNDAI
ACCENT
1.5",HYUNDAI,ACCENT, 08/02/2023, RUSSIE,ESSENCE,53 000 KM,2008,MANUELLE,1.5
"

                              70 544 €  ","HYUNDAI
STARIA
2.2",HYUNDAI,STARIA, 08/02/2023, RUSSIE,DIESEL,67 KM,2022,AUTOMATIQUE,2.2
"

                              55 149 €  ","HYUNDAI
STARIA
2.2",HYUNDAI,STARIA, 08/02/2023, RUSSIE,DIESEL,15 KM,2021,AUTOMATIQUE,2.2
"

                              27 574 €  ","FORD
MUSTANG
2.3",FORD,MUSTANG, 09/02/2023, RUSSIE,ESSENCE,64 200 KM,2017,AUTOMATIQUE,2.3
"

                              12 088 €  ","FORD
FOCUS
1.6",FORD,FOCUS, 09/02/2023, RUSSIE,ESSENCE,64 000 KM,2018,AUTOMATIQUE,1.6
"

                              21 424 €  ","MERCEDES
CLASSE C
C 1801.6",MERCEDES,CLASSE C, 09/02/2023, RUSSIE,ESSENCE,127 523 KM,2019,AUTOMATIQUE,C 180
"

                              33 250 €  ","HYUNDAI
SONATA
V6 2.5",HYUNDAI,SONATA, 09/02/2023, RUSSIE,ESSENCE,17 500 KM,2020,AUTOMATIQUE,V6 2.5
,"HYUNDAI
EQUUS
V8 5.0",HYUNDAI,EQUUS, 09/02/2023, RUSSIE,ESSENCE,14 000 KM,2014,AUTOMATIQUE,V8 5.0
"

                              25 911 €  ","HYUNDAI
SANTA FE
2.2",HYUNDAI,SANTA FE, 09/02/2023, RUSSIE,DIESEL,148 000 KM,2016,AUTOMATIQUE,2.2
"

                              7 027 €  ","HYUNDAI
SOLARIS
1.4",HYUNDAI,SOLARIS, 09/02/2023, RUSSIE,ESSENCE,142 000 KM,2016,AUTOMATIQUE,1.4
,"HYUNDAI
GETZ
1.6CONFORT",HYUNDAI,GETZ, 09/02/2023, RUSSIE,ESSENCE,116 500 KM,2008,AUTOMATIQUE,1.6
"

                              4 537 €  ","HYUNDAI
SONATA
2.0",HYUNDAI,SONATA, 09/02/2023, RUSSIE,ESSENCE,250 000 KM,2003,AUTOMATIQUE,2.0
"

                              21 172 €  ","HYUNDAI
SOLARIS
1.6",HYUNDAI,SOLARIS, 09/02/2023, RUSSIE,ESSENCE,10 KM,2022,MANUELLE,1.6
,"HYUNDAI
SOLARIS
1.6",HYUNDAI,SOLARIS, 09/02/2023, RUSSIE,ESSENCE,13 160 KM,2020,AUTOMATIQUE,1.6
,"UAZ
PATRIOT
2.7",UAZ,PATRIOT, 10/02/2023, RUSSIE,ESSENCE,136 000 KM,2017,MANUELLE,2.7
"

                              25 003 €  ","HYUNDAI
SONATA
2.0",HYUNDAI,SONATA, 10/02/2023, RUSSIE,ESSENCE,62 967 KM,2021,AUTOMATIQUE,2.0
,"HYUNDAI
CRETA
1.6",HYUNDAI,CRETA, 10/02/2023, RUSSIE,ESSENCE,75 000 KM,2021,AUTOMATIQUE,1.6
,"HYUNDAI
I30
N PERFORMANCE2.0",HYUNDAI,I30, 10/02/2023, RUSSIE,ESSENCE,25 900 KM,2019,MANUELLE,N PERFORMANCE
"

                              24 197 €  ","HYUNDAI
CRETA
2.0",HYUNDAI,CRETA, 10/02/2023, RUSSIE,ESSENCE,10 500 KM,2021,AUTOMATIQUE,2.0
"

                              35 287 €  ","HYUNDAI
SANTA FE
2.2",HYUNDAI,SANTA FE, 10/02/2023, RUSSIE,DIESEL,120 000 KM,2019,AUTOMATIQUE,2.2
"

                              40 328 €  ","JAGUAR
XE
2.0",JAGUAR,XE, 11/02/2023, RUSSIE,ESSENCE,60 000 KM,2019,AUTOMATIQUE,2.0
"

                              32 162 €  ","MAZDA
3
2.0",MAZDA,3, 11/02/2023, RUSSIE,ESSENCE,10 KM,2022,AUTOMATIQUE,2.0
"

                              22 180 €  ","HYUNDAI
ELANTRA
1.6",HYUNDAI,ELANTRA, 11/02/2023, RUSSIE,ESSENCE,4 000 KM,2022,AUTOMATIQUE,1.6
"

                              11 897 €  ","SKODA
OCTAVIA
1.8",SKODA,OCTAVIA, 12/02/2023, RUSSIE,ESSENCE,200 000 KM,2013,AUTOMATIQUE,1.8
"

                              15 113 €  ","FORD
MONDEO
2.5",FORD,MONDEO, 12/02/2023, RUSSIE,ESSENCE,210 000 KM,2017,AUTOMATIQUE,2.5
"

                              23 189 €  ","AUDI
A7 SPORTBACK
3.0QUATTRO",AUDI,A7 SPORTBACK, 13/02/2023, RUSSIE,DIESEL,146 000 KM,2011,AUTOMATIQUE,3.0
,"PEUGEOT
3008
1.6",PEUGEOT,3008, 13/02/2023, RUSSIE,DIESEL,145 000 KM,2012,AUTOMATIQUE,1.6
"

                              22 180 €  ","VOLKSWAGEN
TOURAN
2.0",VOLKSWAGEN,TOURAN, 13/02/2023, RUSSIE,DIESEL,183 000 KM,2019,AUTOMATIQUE,2.0
,"VOLKSWAGEN
AMAROK
2.04MOTION",VOLKSWAGEN,AMAROK, 13/02/2023, RUSSIE,DIESEL,160 000 KM,2011,MANUELLE,2.0
"

                              4 738 €  ","VOLKSWAGEN
SHARAN
V6 2.8",VOLKSWAGEN,SHARAN, 13/02/2023, RUSSIE,ESSENCE,316 000 KM,2007,MANUELLE,V6 2.8
,"VOLKSWAGEN
CC
1.8",VOLKSWAGEN,CC, 13/02/2023, RUSSIE,ESSENCE,215 000 KM,2013,MANUELLE,1.8
"

                              15 627 €  ","VOLKSWAGEN
POLO
1.6",VOLKSWAGEN,POLO, 13/02/2023, RUSSIE,ESSENCE,56 000 KM,2020,MANUELLE,1.6
"

                              23 995 €  ","VOLKSWAGEN
BORA
1.4",VOLKSWAGEN,BORA, 13/02/2023, RUSSIE,ESSENCE,32 KM,2021,AUTOMATIQUE,1.4
,"VOLKSWAGEN
TOURAN
1.6",VOLKSWAGEN,TOURAN, 13/02/2023, RUSSIE,ESSENCE,331 000 KM,2008,MANUELLE,1.6
"

                              10 586 €  ","VOLKSWAGEN
TRANSPORTER
1.9",VOLKSWAGEN,TRANSPORTER, 13/02/2023, RUSSIE,DIESEL,224 000 KM,2009,MANUELLE,1.9
,"VOLKSWAGEN
TRANSPORTER
2.04MOTION",VOLKSWAGEN,TRANSPORTER, 13/02/2023, RUSSIE,DIESEL,270 000 KM,2011,MANUELLE,2.0
"

                              12 028 €  ","VOLKSWAGEN
POLO
1.6",VOLKSWAGEN,POLO, 13/02/2023, RUSSIE,ESSENCE,58 000 KM,2018,MANUELLE,1.6
,"VOLKSWAGEN
SHARAN
1.4",VOLKSWAGEN,SHARAN, 13/02/2023, RUSSIE,ESSENCE,115 000 KM,2011,AUTOMATIQUE,1.4
"

                              9 780 €  ","VOLKSWAGEN
PASSAT CC
2.0",VOLKSWAGEN,PASSAT CC, 13/02/2023, RUSSIE,ESSENCE,113 585 KM,2010,AUTOMATIQUE,2.0
,"VOLKSWAGEN
TOUAREG
V6 3.04MOTION",VOLKSWAGEN,TOUAREG, 13/02/2023, RUSSIE,DIESEL,205 000 KM,2015,AUTOMATIQUE,V6 3.0
,"VOLKSWAGEN
ID.4",VOLKSWAGEN,ID.4, 13/02/2023, RUSSIE,ELECTRIQUE,100 KM,2021,AUTOMATIQUE,
,"VOLKSWAGEN
TIGUAN
1.44MOTION",VOLKSWAGEN,TIGUAN, 13/02/2023, RUSSIE,ESSENCE,10 KM,2022,AUTOMATIQUE,1.4
"

                              1 764 €  ","VOLKSWAGEN
PASSAT
1.8",VOLKSWAGEN,PASSAT, 13/02/2023, RUSSIE,ESSENCE,250 000 KM,1992,MANUELLE,1.8
"

                              14 064 €  ","VOLKSWAGEN
AMAROK
2.04MOTION",VOLKSWAGEN,AMAROK, 13/02/2023, RUSSIE,DIESEL,204 342 KM,2012,MANUELLE,2.0
"

                              16 635 €  ","VOLKSWAGEN
PASSAT
1.8",VOLKSWAGEN,PASSAT, 13/02/2023, RUSSIE,ESSENCE,92 000 KM,2017,AUTOMATIQUE,1.8
"

                              10 536 €  ","VOLKSWAGEN
GOLF
1.4",VOLKSWAGEN,GOLF, 13/02/2023, RUSSIE,ESSENCE,141 000 KM,2014,AUTOMATIQUE,1.4
,"VOLKSWAGEN
POLO
1.6",VOLKSWAGEN,POLO, 13/02/2023, RUSSIE,ESSENCE,238 000 KM,2014,MANUELLE,1.6
"

                              2 873 €  ","VOLKSWAGEN
TRANSPORTER
2.4",VOLKSWAGEN,TRANSPORTER, 13/02/2023, RUSSIE,DIESEL,400 000 KM,1991,MANUELLE,2.4
"

                              25 205 €  ","VOLKSWAGEN
PASSAT
2.04MOTION",VOLKSWAGEN,PASSAT, 13/02/2023, RUSSIE,ESSENCE,205 000 KM,2017,AUTOMATIQUE,2.0
,"VOLKSWAGEN
TIGUAN
1.44MOTION",VOLKSWAGEN,TIGUAN, 13/02/2023, RUSSIE,ESSENCE,218 000 KM,2016,MANUELLE,1.4
,"VOLKSWAGEN
TIGUAN
2.04MOTION",VOLKSWAGEN,TIGUAN, 13/02/2023, RUSSIE,ESSENCE,247 000 KM,2012,AUTOMATIQUE,2.0
"

                              13 863 €  ","VOLKSWAGEN
PASSAT
1.8",VOLKSWAGEN,PASSAT, 13/02/2023, RUSSIE,ESSENCE,112 000 KM,2016,AUTOMATIQUE,1.8
"

                              8 267 €  ","VOLKSWAGEN
JETTA
1.4",VOLKSWAGEN,JETTA, 13/02/2023, RUSSIE,ESSENCE,155 000 KM,2011,MANUELLE,1.4
"

                              11 090 €  ","VOLKSWAGEN
GOLF
1.4",VOLKSWAGEN,GOLF, 13/02/2023, RUSSIE,ESSENCE,126 400 KM,2013,AUTOMATIQUE,1.4
"

                              17 543 €  ","VOLKSWAGEN
POLO
1.6",VOLKSWAGEN,POLO, 13/02/2023, RUSSIE,ESSENCE,63 884 KM,2021,AUTOMATIQUE,1.6
"

                              1 301 €  ","VOLKSWAGEN
VENTO
1.8",VOLKSWAGEN,VENTO, 13/02/2023, RUSSIE,ESSENCE,200 000 KM,1994,MANUELLE,1.8
"

                              1 492 €  ","VOLKSWAGEN
PASSAT
1.8",VOLKSWAGEN,PASSAT, 13/02/2023, RUSSIE,ESSENCE,200 000 KM,1991,MANUELLE,1.8
,"VOLKSWAGEN
PASSAT
1.8",VOLKSWAGEN,PASSAT, 13/02/2023, RUSSIE,ESSENCE,639 000 KM,1988,MANUELLE,1.8
